State,Values,
AK,asian_american,56670
AK,african_american,37906
AK,pacific_american,12824
AK,american_indian,141686
AK,white_american,538294
,,
AL,asian_american,75634
AL,african_american,1312584
AL,pacific_american,5186
AL,american_indian,58251
AL,white_american,3396662
,,
AR,asian_american,49925
AR,african_american,481428
AR,pacific_american,9098
AR,american_indian,49291
AR,white_american,2365477
,,
AZ,asian_american,260295
AZ,african_american,348422
AZ,pacific_american,27497
AZ,american_indian,360878
AZ,white_american,5391169
,,
CA,asian_american,6001393
CA,african_american,2710216
CA,pacific_american,301831
CA,american_indian,719301
CA,white_american,25179712
,,
CO,asian_american,209119
CO,african_american,268990
CO,pacific_american,17266
CO,american_indian,111240
CO,white_american,4608186
,,
CT,asian_american,175370
CT,african_american,422002
CT,pacific_american,4239
CT,american_indian,33311
CT,white_american,2861270
,,
DC,asian_american,31284
DC,african_american,324552
DC,pacific_american,1092
DC,american_indian,6122
DC,white_american,273868
,,
DE,asian_american,38746
DE,african_american,217312
DE,pacific_american,1168
DE,american_indian,8840
DE,white_american,664065
,,
FL,asian_american,645847
FL,african_american,3401179
FL,pacific_american,35770
FL,american_indian,156000
FL,white_american,15327007
,,
GA,asian_american,418415
GA,african_american,3212824
GA,pacific_american,12893
GA,american_indian,80271
GA,white_american,6201600
,,
HI,asian_american,788539
HI,african_american,48863
HI,pacific_american,363422
HI,american_indian,32989
HI,white_american,604474
,,
IA,asian_american,76330
IA,african_american,127485
IA,pacific_american,3729
IA,american_indian,26907
IA,white_american,2877408
,,
ID,asian_american,34237
ID,african_american,17547
ID,pacific_american,4791
ID,american_indian,37946
ID,white_american,1522014
,,
IL,asian_american,735368
IL,african_american,1972360
IL,pacific_american,13375
IL,american_indian,92173
IL,white_american,9558427
,,
IN,asian_american,149198
IN,african_american,678881
IN,pacific_american,5974
IN,american_indian,54186
IN,white_american,5661699
,,
KS,asian_american,93239
KS,african_american,209987
KS,pacific_american,5063
KS,american_indian,61363
KS,white_american,2551542
,,
KY,asian_american,70726
KY,african_american,400648
KY,pacific_american,4768
KY,american_indian,32682
KY,white_american,3935181
,,
LA,asian_american,92981
LA,african_american,1528695
LA,pacific_american,4273
LA,american_indian,59279
LA,white_american,2974719
,,
MA,asian_american,451743
MA,african_american,583006
MA,pacific_american,8915
MA,american_indian,45803
MA,white_american,5505449
,,
MD,asian_american,415223
MD,african_american,1848257
MD,pacific_american,9523
MD,american_indian,58236
MD,white_american,3558054
,,
ME,asian_american,20520
ME,african_american,21999
ME,pacific_american,989
ME,american_indian,22021
ME,white_american,1287149
,,
MI,asian_american,325398
MI,african_american,1509779
MI,pacific_american,9443
MI,american_indian,144952
MI,white_american,8055451
,,
MN,asian_american,281009
MN,african_american,362258
MN,pacific_american,6873
MN,american_indian,103666
MN,white_american,4726169
,,
MO,asian_american,138017
MO,african_american,764195
MO,pacific_american,12717
MO,american_indian,78508
MO,white_american,5127616
,,
MS,asian_american,35682
MS,african_american,1136159
MS,pacific_american,2014
MS,american_indian,23962
MS,white_american,1798727
,,
MT,asian_american,12403
MT,african_american,9493
MT,pacific_american,2224
MT,american_indian,81695
MT,white_american,929666
,,
NC,asian_american,294535
NC,african_american,2241952
NC,pacific_american,14796
NC,american_indian,190209
NC,white_american,7034563
,,
ND,asian_american,11728
ND,african_american,16373
ND,pacific_american,1083
ND,american_indian,47287
ND,white_american,655444
,,
NE,asian_american,47471
NE,african_american,106051
NE,pacific_american,3282
NE,american_indian,30206
NE,white_american,1685456
,,
NH,asian_american,38955
NH,african_american,25267
NH,pacific_american,1152
NH,american_indian,10823
NH,white_american,1264353
,,
NJ,asian_american,876171
NJ,african_american,1314132
NJ,pacific_american,12327
NJ,american_indian,61264
NJ,white_american,6257974
,,
NM,asian_american,45587
NM,african_american,59334
NM,pacific_american,3882
NM,american_indian,215596
NM,white_american,1579542
,,
NV,asian_american,271325
NV,african_american,275460
NV,pacific_american,36054
NV,american_indian,55498
NV,white_american,2028300
,,
NY,asian_american,1733149
NY,african_american,3344602
NY,pacific_american,26560
NY,american_indian,193357
NY,white_american,13131658
,,
OH,asian_american,269614
OH,african_american,1585347
OH,pacific_american,10872
OH,american_indian,96544
OH,white_american,9799302
,,
OK,asian_american,96584
OK,african_american,345252
OK,pacific_american,8440
OK,american_indian,512490
OK,white_american,3086220
,,
OR,asian_american,210781
OR,african_american,105962
OR,pacific_american,29743
OR,american_indian,117337
OR,white_american,3501938
,,
PA,asian_american,453749
PA,african_american,1561343
PA,pacific_american,14701
PA,american_indian,88782
PA,white_american,10664675
,,
PR,asian_american,12642
PR,african_american,613717
PR,pacific_american,588
PR,american_indian,30282
PR,white_american,2819232
,,
RI,asian_american,40570
RI,african_american,84071
RI,pacific_american,1871
RI,american_indian,13132
RI,white_american,877619
,,
SC,asian_american,85855
SC,african_american,1367604
SC,pacific_american,5952
SC,american_indian,43007
SC,white_american,3290711
,,
SD,asian_american,12968
SD,african_american,18708
SD,pacific_american,1039
SD,american_indian,86811
SD,white_american,737542
,,
TN,asian_american,127361
TN,african_american,1150035
TN,pacific_american,8649
TN,american_indian,62985
TN,white_american,5177822
,,
TX,asian_american,1295773
TX,african_american,3390604
TX,pacific_american,48556
TX,american_indian,321654
TX,white_american,20431817
,,
UT,asian_american,90554
UT,african_american,46887
UT,pacific_american,40427
UT,american_indian,50536
UT,white_american,2612623
,,
VA,asian_american,594021
VA,african_american,1717174
VA,pacific_american,16746
VA,american_indian,81614
VA,white_american,5923173
,,
VT,asian_american,11992
VT,african_american,10233
VT,pacific_american,636
VT,american_indian,7935
VT,white_american,606073
,,
WA,asian_american,680356
WA,african_american,360719
WA,pacific_american,80406
WA,american_indian,206860
WA,white_american,5751893
,,
WI,asian_american,169762
WI,african_american,415117
WI,pacific_american,5409
WI,american_indian,92606
WI,white_american,5078473
,,
WV,asian_american,17879
WV,african_american,78166
WV,pacific_american,1537
WV,american_indian,19768
WV,white_american,1766068
,,
WY,asian_american,7665
WY,african_american,9773
WY,pacific_american,1357
WY,american_indian,21235
WY,white_american,542374
